Verkiezing;;Gemeenteraad Barneveld 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Barneveld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis ingang Oude Raadhuis;Emmaüskerk Barneveld;Appartementencomplex Rumah Maluku;Ontmoetingscentrum Bronveld;Goede Herderkerk;Openbare Basisschool De Lijster;Schaffelaartheater ingang Harmonie;Nederlands Pluimveemuseum;Voetbalvereniging SDV Barneveld;Willem van Oranjeschool;Woonzorgcentrum Elim Barneveld;Zorgcentrum Nebo;"Locatie Burgthof, PCBS ""De Fontein""";Tennisbaan De Watermolen;Veluwehal Barneveld I;Geref.Gemeente in Nederland De Hoeksteen I;Veluwehal Barneveld II;Sporthal Oosterboshal;Moluks Sociaal-cultureel Centrum Jajasan Batu Tjapeu;Dorpshuis De Belleman;Evangeliegemeente de Kandelaar;Brandweerkazerne Voorthuizen;Woon en Zorgcentrum Nieuw Avondrust;Ontmoetingscentrum De Eng;Kerkcentrum Odulf;Kerkelijk Centrum 't Kerkheem;Ichthuskerk;Kerkelijk  Centrum Bethabara I;Dorpshuis De Hofstee;Kerkelijk gebouw Eben-Haëzer;Kulturhus De Essenburcht I;Kulturhus De Essenburcht II;Dorpshuis De Wardborg;Dr. Kruimelstaete;Multifunctioneel Centrum Glindster;Sportpark Overbeek;Hervormde Kerk Kootwijk;Kerkelijk Centrum Bethabara II;"Ger. Gem. in Nederland ""De Hoeksteen"" II";Gemeentehuis ingang Oude Raadhuis;"Geref. Gemeente in Nederland ""De Hoeksteen I""";Kerkelijk Centrum Bethabara I;Kulturhus De Essenburcht;Gemeentehuis ingang Oude Raadhuis;"Geref. Gemeente in Nederland ""De Hoeksteen I""";Kerkelijk Centrum Bethabara I;Kulturhus De Essenburcht
;;34;van Maanen-Witteveen, J.E.;9;0;0;0;0;4;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Peters, A.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van der Vegte, J.W.;36;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;7;5;1;1;2;2;0;0;0;0;0;0;0;6;0;0;0;3;0;0;0;1;0
;;37;Gort, K.L.C.;21;0;1;0;0;1;0;2;0;0;1;0;0;2;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;2;0;0;0;0;2;0;0
;;38;Baas, J.J.D.;19;3;0;0;2;0;0;0;0;0;2;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0;0;1;0;0;0
;;39;van den Berkt, A.;11;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0
;;40;van Ee, J.M.;10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1
;;41;Barth, M.P.D.;30;4;1;0;0;4;0;2;0;0;7;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;4;0;0
;;42;van der Stege, J.R.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Withaar-de Haan, B.T.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;4;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0
;;44;Kroon, D.;18;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4
;;45;van den Brink, C.;17;3;0;4;0;1;0;1;0;0;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0
;;46;van de Pol, C.;9;1;5;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Oskam-de Jong, G.;13;0;2;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0
;;48;Heijkoop-van Maanen, W.;19;0;0;1;0;1;0;0;5;0;2;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
;;49;Wondergem, H.A.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Scheijgrond, L.J.;30;1;0;0;0;0;0;0;2;0;4;0;0;1;0;0;1;0;5;1;2;3;1;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;2;1;0
3;Pro'98 (Pro Barneveld - PvdA - D66);;;4043;242;149;134;107;260;44;181;129;72;222;0;6;165;159;82;137;82;203;49;55;80;100;7;67;54;55;29;65;42;19;16;19;66;31;77;36;45;59;131;114;60;48;6;167;84;78;10
;;1;Korevaar, A.W.;1280;65;51;41;29;93;12;63;39;18;78;0;2;38;53;28;39;22;68;17;16;24;26;3;18;20;16;9;25;14;7;7;6;20;16;24;17;13;17;43;49;13;19;2;45;24;29;2
;;2;van der Lubbe, F.J.;363;25;17;17;4;24;8;20;9;13;23;0;2;20;14;9;19;11;26;4;1;6;5;0;4;2;1;1;0;2;2;0;0;1;0;4;0;4;6;21;6;5;1;0;15;11;0;0
;;3;De Man, E.;945;52;38;28;25;48;6;44;32;7;66;0;1;43;39;20;36;19;42;12;24;14;8;0;14;8;9;7;15;10;8;3;8;15;10;24;11;17;8;28;29;18;11;4;40;28;13;3
;;4;Lentink, M.;52;1;1;0;1;3;0;0;0;2;1;0;0;1;0;1;0;0;2;0;0;0;4;0;0;0;2;0;0;7;0;1;0;11;0;3;0;3;0;0;0;1;1;0;2;1;1;2
;;5;Mulder, H.J.;51;4;1;4;2;1;3;4;6;1;2;0;0;2;4;0;1;1;4;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;4;0;0;0;1;1;0;0
;;6;Meijer, E.W.H.;19;0;0;2;1;2;0;1;0;4;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;2;0;0
;;7;van den Berg, E.C.;299;13;2;0;0;8;3;7;3;1;3;0;0;6;6;1;4;4;8;0;7;27;34;2;18;10;18;6;15;5;0;1;0;2;2;10;1;3;14;4;3;3;9;0;13;2;19;2
;;8;Nortier, H.;17;2;1;3;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;2;0;0;1;0;0;0
;;9;van de Burgwal, A.H.;135;8;4;2;2;10;0;9;3;4;5;0;0;5;2;1;4;2;12;1;0;2;8;0;5;2;2;2;4;2;0;0;0;0;0;5;2;1;4;3;6;0;1;0;8;0;4;0
;;10;Parvisie, S.R.A.;62;7;1;6;12;5;0;2;0;5;1;0;0;2;4;2;0;1;5;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0
;;11;van den Brink, J.;40;0;3;2;0;11;0;0;3;0;7;0;0;2;0;0;0;1;0;4;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
;;12;Wijckelsma, R.A.J.;49;8;2;0;1;3;0;3;3;0;3;0;0;8;4;0;1;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0
;;13;Pater, M.;56;7;0;2;3;3;1;2;2;2;3;0;0;1;1;2;0;0;3;1;3;0;1;0;1;0;0;0;0;0;1;2;0;0;1;2;0;0;0;4;3;2;0;0;1;1;1;0
;;14;Vinkenborg, R.A.;25;0;1;2;1;1;0;0;1;1;2;0;0;4;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;1;0;0
;;15;Godschalk, M.C.;23;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;12;2;0;0;0;0;0;0;0;0;0;1;0;0;0
;;16;van den Brink, J.R.P.;7;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Kuit - de Wit, J.G.;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;0;0;9;0;1;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;18;Renshof, E.A.;8;0;1;1;0;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Markesteijn, A.;7;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;20;Dokter, M.;92;12;4;5;4;9;0;4;3;4;4;0;0;5;8;3;9;4;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;5;0;3;0;0;2;0;1;0
;;21;van den Brink - Ruiter, M.;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;22;van Dieën, J.N.;27;9;0;1;1;1;0;0;0;0;1;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0
;;23;Haisma, A.;13;2;0;0;2;1;2;1;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;24;Knibbe, N.E.;67;2;6;1;1;6;0;4;8;0;3;0;0;2;5;2;2;3;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;1;0;6;0;1;0
;;25;Kramers, N.C.;13;0;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;0
;;26;Overeem, P.;28;4;0;0;2;2;0;4;0;2;0;0;0;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0
;;27;Koster, C.;15;0;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0
;;28;Folmer, G.H.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;29;Beijer, M.;12;0;0;3;1;1;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van den Brand, W.F.;12;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Bos-van den Berkt, D.P.;20;2;2;1;1;1;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;3;0;2;0
;;32;Man, R.;5;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Brul, H.;4;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Wassink, A.S.;8;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0
;;35;Knol, A.J.;5;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van den Brink, E.;7;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
;;37;Wassink, G.;12;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;2;0;0
;;38;Lentink - van Drie, J.F.I.;4;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Roeloffs, M.L.;26;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;3;1;2;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;6;1
;;40;van As, S.L.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;van Donselaar, C.F.;24;1;4;0;5;1;0;0;1;0;2;0;0;1;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0
;;42;van Iperen, A.W.;28;1;0;1;0;1;1;1;2;0;5;0;0;5;1;0;2;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0
;;43;Klinkhamer, H.;42;3;0;5;3;4;2;1;4;0;2;0;0;2;0;4;1;3;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;44;Lether, D.;27;3;0;0;2;2;0;0;1;0;1;0;0;1;0;2;2;1;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;0;0;2;0;0
;;45;van Voskuilen, A.;29;1;0;1;1;2;0;0;0;2;0;0;0;4;2;0;3;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;7;1;0;0
;;46;de Boer, H.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;47;Barendregt, A.;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;48;den Dunnen, A.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;49;Beijer, J.G.J.M.;6;1;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Rosbergen, M.;37;1;2;1;1;6;2;0;1;0;1;0;0;0;0;0;1;2;1;2;2;0;2;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;1;2;2;0;0;3;0;0;0
4;CDA;;;3695;107;217;85;47;147;26;118;103;41;175;1;17;111;114;30;74;68;139;23;225;126;137;6;46;81;83;36;111;110;64;38;39;26;24;58;118;11;75;77;68;32;78;11;123;79;132;38
;;1;de Vries, D.G.;2068;64;129;53;27;84;14;72;51;25;97;1;13;72;73;20;54;36;93;18;54;61;76;3;26;41;46;14;53;59;50;30;26;10;13;25;38;7;50;51;35;16;40;8;81;46;82;31
;;2;Schipper, J.M.;180;2;9;7;5;11;3;11;9;4;14;0;0;7;7;0;5;5;6;2;6;3;4;0;0;3;4;0;3;4;2;2;2;1;1;2;1;1;1;6;8;4;6;0;4;2;3;0
;;3;van der Meer, A.R.;266;13;18;5;3;7;2;5;9;3;18;0;0;11;14;3;11;7;14;0;13;6;10;1;2;6;0;2;5;7;4;2;2;0;0;5;11;1;1;10;4;6;2;0;5;9;7;2
;;4;Smit, H.;105;0;0;0;0;1;0;0;2;3;1;0;0;0;1;0;0;0;1;0;68;5;0;0;0;0;5;0;3;1;1;0;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0
;;5;van den Broek, R.;156;7;25;4;1;14;3;6;11;2;10;0;1;4;2;1;2;2;4;1;15;2;1;0;0;0;0;0;4;2;0;0;0;0;0;1;2;0;1;2;8;1;1;0;13;1;2;0
;;6;Bouwman, G.;158;4;1;2;1;6;0;1;4;0;4;0;0;3;3;0;0;0;0;0;28;9;2;0;3;3;0;2;6;5;1;0;1;0;0;9;42;0;1;0;1;0;3;1;2;1;9;0
;;7;Gijsbertse, M.J.;65;2;6;4;1;0;1;1;3;0;4;0;0;4;1;0;1;2;4;0;0;0;0;0;2;1;2;1;1;10;2;2;2;0;0;0;0;0;1;0;2;1;0;0;1;3;0;0
;;8;van Leijenhorst, G.H.;28;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;10;8;0;0;0;0;0;0;0;0;0;0;2;0;0
;;9;Hendriks, S.;78;5;4;1;1;10;0;1;2;0;7;0;0;2;2;0;1;4;4;0;1;1;0;0;0;3;0;0;1;1;2;1;1;0;0;1;1;1;4;2;5;2;0;0;3;3;1;0
;;10;Slot, H.J.;19;2;3;0;0;0;0;0;0;0;0;0;0;0;2;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0
;;11;Buurman, G.;137;1;1;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;19;18;0;3;16;13;4;14;1;0;0;2;1;0;0;0;0;11;0;0;0;11;0;0;1;15;0
;;12;Broekhuizen - Overeem, J.E.;30;1;1;0;0;3;0;0;4;0;4;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;2;1;0;1;0;0;0;0;0;0;0;2;1;0;2;0;1;0;2;0
;;13;van den Belt, T.;8;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;14;Fokkema, E.;35;0;7;1;3;0;0;5;1;0;2;0;0;0;2;0;0;1;0;0;3;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;0;0
;;15;Fledderus, A.;50;1;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;8;4;1;0;2;3;6;7;1;0;0;0;0;0;0;0;0;1;0;0;0;4;0;1;2;5;0
;;16;Post - van Laar, G.R.;17;0;3;0;2;1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0
;;17;van der Werf, K.;19;0;2;1;0;1;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;0;0
;;18;Groenevelt, G.;27;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;1;0;3
;;19;de Vries, T.J.;44;0;3;2;2;4;0;4;5;0;3;0;0;5;0;0;0;0;4;1;2;2;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
;;20;van Leijenhorst, W.H.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;21;Kas, E.;5;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Dokter, J.;58;2;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;34;2;1;1;0;0;0;0;3;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;1;0
;;23;de Jong, D.;72;3;1;0;0;2;0;3;1;0;3;0;2;0;1;0;0;0;2;1;0;5;11;0;6;3;7;3;4;1;0;0;1;0;0;0;0;0;1;1;1;0;4;1;1;2;0;1
;;24;van Horssen, A.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0
;;25;Rijssenbeek - van Pijkeren, E.;21;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;1
;;26;Siemeling - van Reenen, G.;34;0;2;1;0;1;1;4;1;0;3;0;1;0;0;0;0;6;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;2;0;4;1;2;0
5;Lokaal Belang;;;5974;166;176;191;153;267;39;180;134;70;214;0;1;121;162;70;96;82;213;95;247;201;270;5;134;189;149;69;202;216;80;45;47;180;146;89;171;29;163;89;111;50;138;19;175;96;196;38
;;1;Pluimers-Foeken, M.H.J.;3400;99;119;112;92;162;28;113;88;46;146;0;1;71;117;44;50;46;141;51;83;112;139;3;59;102;86;41;112;120;58;36;34;33;37;61;75;24;85;56;71;34;70;17;120;65;116;25
;;2;van den Born, J.W.;221;10;13;9;7;14;0;9;9;3;14;0;0;8;6;4;4;5;14;3;4;2;5;0;2;4;3;1;5;2;3;2;1;0;3;2;14;0;4;6;6;1;2;0;7;2;7;1
;;3;Kevelam, G.;311;3;0;5;1;6;0;2;4;0;1;0;0;0;1;1;1;0;3;1;0;0;4;1;0;1;1;0;4;4;0;2;1;141;100;0;1;4;3;1;1;0;2;0;2;0;5;4
;;4;Blankenburgh-in 't Anker, M.H.;134;8;5;6;2;13;2;3;5;0;4;0;0;3;6;3;6;5;6;1;0;5;7;0;1;2;3;0;2;2;2;0;3;1;0;0;2;1;0;3;4;3;1;0;8;4;2;0
;;5;van Amerongen, A.S.;366;0;2;2;0;5;0;1;1;0;3;0;0;1;2;0;2;0;1;1;0;40;50;1;31;46;29;8;37;0;2;0;0;1;0;0;0;0;27;0;1;0;31;0;1;0;39;1
;;6;Tamaela, M.B.A.;270;14;14;25;21;29;2;11;8;5;7;0;0;6;10;4;4;7;17;22;1;4;5;0;2;0;1;0;1;0;0;1;0;0;0;3;3;0;3;7;8;1;2;0;16;4;2;0
;;7;Velt, S.P.;52;1;1;1;11;7;0;3;1;1;5;0;0;0;1;0;2;3;2;0;0;3;0;0;0;2;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;2;0
;;8;van Veen, N.;91;1;0;0;1;0;0;0;2;0;0;0;0;4;3;0;2;1;1;0;55;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;11;0;0;0;1;0;2;0;1;2;0;0
;;9;Lether, I.C.;96;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;2;0;0;12;14;0;2;11;7;2;13;0;0;1;0;1;1;0;0;0;7;1;0;0;6;0;2;3;5;0
;;10;Marsman, M.M.;40;1;1;1;1;2;2;0;1;1;2;0;0;2;1;2;0;2;7;1;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;2;0;3;0
;;11;Kinsbergen, R.;106;3;1;2;0;1;0;7;0;3;2;0;0;2;0;1;2;1;2;0;0;7;13;0;8;6;4;1;7;4;0;0;0;0;1;0;1;0;5;1;2;1;6;0;4;1;6;1
;;12;van Beusekom, J.;28;3;0;4;0;1;0;4;0;0;0;0;0;3;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;2;1;0;1;0;0;1
;;13;Overgaauw, P.A.M.;32;1;2;0;1;2;0;2;0;5;0;0;0;0;1;2;0;0;2;1;1;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;1;0
;;14;Tukker, R.L.;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;15;van Dronkelaar, H.G.;20;2;4;0;0;0;0;0;1;0;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;2;0;0;0;0;2;1;0
;;16;Oosterom, R.M.;23;0;0;0;0;0;0;0;0;2;4;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;5;0;0
;;17;Kremer, R.E.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;ten Hoven, G.;35;1;0;0;0;2;0;1;0;0;1;0;0;0;1;1;0;1;1;0;0;1;9;0;4;1;3;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;1;0;0
;;19;Looij, E.G.;25;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;15;1;0;0;1;0;0;0;0;1;0;0;0
